2023-03-11 17:52:29,984 | runner | INFO | [batch=4] comparison <SAC, DDPG> = larger
2023-03-11 17:52:29,984 | runner | INFO | [batch=4] comparison <SAC, TRPO> = larger
2023-03-11 17:52:29,984 | runner | INFO | [batch=4] comparison <DDPG, TRPO> = continue
2023-03-11 20:32:19,533 | runner | INFO | [TRPO] Ran train batch of 5 seeds in 9589.54644s.
2023-03-11 20:33:10,000 | runner | INFO | [PPO] Ran train batch of 5 seeds in 9640.01362s.
2023-03-11 22:09:56,923 | runner | INFO | [DDPG] Ran train batch of 5 seeds in 15446.93682s.
2023-03-11 22:09:57,349 | runner | INFO | [batch=5] evaluation PPO = 2478.799670 +/- 906.452107
2023-03-11 22:09:57,349 | runner | INFO | [batch=5] evaluation SAC = 10161.371289 +/- 1418.519808
2023-03-11 22:09:57,349 | runner | INFO | [batch=5] evaluation DDPG = 5049.901143 +/- 2357.784602
2023-03-11 22:09:57,349 | runner | INFO | [batch=5] evaluation TRPO = 3599.952885 +/- 1223.160245
2023-03-11 22:09:57,349 | runner | INFO | [batch=5] comparison <PPO, SAC> = smaller
2023-03-11 22:09:57,349 | runner | INFO | [batch=5] comparison <PPO, DDPG> = smaller
2023-03-11 22:09:57,349 | runner | INFO | [batch=5] comparison <PPO, TRPO> = smaller
2023-03-11 22:09:57,349 | runner | INFO | [batch=5] comparison <SAC, DDPG> = larger
2023-03-11 22:09:57,349 | runner | INFO | [batch=5] comparison <SAC, TRPO> = larger
2023-03-11 22:09:57,349 | runner | INFO | [batch=5] comparison <DDPG, TRPO> = larger
