2023-03-15 15:54:49,148 | runner | INFO | [TRPO] Ran train batch of 5 seeds in 8803.31046s.
2023-03-15 18:21:15,606 | runner | INFO | [DDPG] Ran train batch of 5 seeds in 17589.76903s.
2023-03-15 18:21:16,054 | runner | INFO | [batch=5] evaluation SAC = 4543.398096 +/- 432.129811
2023-03-15 18:21:16,054 | runner | INFO | [batch=5] evaluation DDPG = 893.229043 +/- 594.270198
2023-03-15 18:21:16,054 | runner | INFO | [batch=5] evaluation TRPO = 1192.751244 +/- 498.955743
2023-03-15 18:21:16,054 | runner | INFO | [batch=5] evaluation PPO = 2901.527783 +/- 1257.929319
2023-03-15 18:21:16,054 | runner | INFO | [batch=5] comparison <SAC, DDPG> = larger
2023-03-15 18:21:16,054 | runner | INFO | [batch=5] comparison <SAC, TRPO> = larger
2023-03-15 18:21:16,054 | runner | INFO | [batch=5] comparison <SAC, PPO> = larger
2023-03-15 18:21:16,054 | runner | INFO | [batch=5] comparison <DDPG, TRPO> = equal
2023-03-15 18:21:16,054 | runner | INFO | [batch=5] comparison <DDPG, PPO> = smaller
2023-03-15 18:21:16,054 | runner | INFO | [batch=5] comparison <TRPO, PPO> = smaller
