,PPO,SAC,DDPG,TRPO
0,3040.01220703125,11600.3583984375,1677.9072265625,1512.8504638671875
1,3426.944580078125,10686.7451171875,7155.15234375,4652.02490234375
2,1486.3663330078125,7743.923828125,3399.624267578125,4528.69384765625
3,1657.89453125,11328.01953125,6315.14111328125,5124.92138671875
4,2957.767333984375,9447.8095703125,1817.5814208984375,3553.10693359375
