,PPO,DDPG,TRPO
0,1755.787109375,2049.47998046875,4398.73974609375
1,3488.928955078125,5484.1953125,4276.02685546875
2,1941.2987060546875,6322.59033203125,1404.4342041015625
3,1644.4173583984375,2014.7369384765625,4683.8154296875
4,3882.451904296875,6678.7353515625,3066.3232421875
