,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0
0,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
1,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
2,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
3,equal,equal,equal,equal,equal,equal,larger,larger,larger,larger
4,larger,larger,larger,larger,larger,larger,equal,equal,equal,equal
5,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
6,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
7,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
8,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
9,smaller,smaller,equal,equal,equal,equal,equal,equal,equal,equal
