,0.6666666666666666,1.0,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.8888888888888888,0.5555555555555556,0.1111111111111111,0.7777777777777777
97,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
98,reject,reject,accept,reject,reject,accept,reject,reject,accept,reject
99,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
100,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
101,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
102,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
103,reject,reject,accept,reject,accept,reject,reject,reject,accept,accept
104,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
105,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
106,reject,reject,accept,reject,accept,reject,reject,accept,reject,reject
107,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
108,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
109,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
110,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
111,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
112,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
113,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
114,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
115,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
116,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
117,reject,accept,accept,reject,reject,reject,reject,reject,reject,reject
118,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
119,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
120,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
121,reject,reject,reject,reject,reject,reject,reject,reject,accept,reject
122,reject,reject,accept,accept,accept,reject,reject,reject,reject,reject
123,reject,reject,accept,accept,reject,reject,reject,reject,reject,reject
124,reject,reject,reject,accept,reject,reject,reject,reject,reject,reject
125,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
126,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
127,reject,reject,reject,reject,reject,reject,reject,reject,reject,reject
128,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
129,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
130,reject,reject,reject,reject,reject,reject,reject,reject,reject,reject
131,accept,reject,accept,reject,reject,reject,reject,reject,accept,reject
132,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
133,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
134,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
135,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
136,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
137,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
138,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
139,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
140,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
141,reject,reject,accept,accept,accept,reject,reject,reject,reject,reject
142,reject,reject,accept,accept,accept,reject,reject,reject,accept,reject
143,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
144,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
145,reject,reject,accept,reject,accept,accept,reject,reject,accept,reject
146,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
147,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
148,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
149,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
150,reject,reject,accept,reject,reject,reject,reject,reject,accept,accept
151,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
152,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
153,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
154,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
155,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
156,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
157,reject,reject,accept,reject,accept,reject,accept,reject,accept,reject
158,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
159,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
160,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
161,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
162,reject,reject,accept,accept,accept,reject,reject,reject,accept,reject
163,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
164,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
165,reject,reject,accept,reject,accept,reject,accept,reject,reject,reject
166,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
167,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
168,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
169,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
170,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
171,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
172,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
173,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
174,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
175,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
176,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
177,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
178,reject,reject,accept,accept,accept,reject,reject,reject,accept,reject
179,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
180,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
181,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
182,reject,reject,accept,accept,reject,reject,reject,reject,accept,reject
183,reject,reject,accept,accept,accept,reject,reject,reject,accept,reject
184,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
185,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
186,reject,reject,accept,accept,reject,reject,reject,reject,reject,reject
187,reject,reject,accept,reject,accept,reject,reject,reject,reject,reject
188,reject,reject,accept,reject,accept,reject,reject,reject,accept,reject
189,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
190,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
191,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
192,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
193,reject,reject,accept,reject,reject,reject,reject,reject,accept,reject
194,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
195,reject,reject,accept,reject,reject,reject,reject,reject,reject,reject
