,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0
0,12.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,12.5,12.5,12.5,7.5,5.0,5.0,5.0,5.0,5.0,5.0
2,12.5,12.5,7.5,7.5,5.0,5.0,5.0,5.0,5.0,5.0
3,12.5,12.5,10.0,10.0,7.5,7.5,7.5,7.5,7.5,7.5
4,12.5,12.5,12.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0
5,12.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6,12.5,12.5,10.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5
7,12.5,12.5,12.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,12.5,7.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
9,12.5,12.5,12.5,12.5,12.5,12.5,10.0,10.0,10.0,10.0
10,12.5,12.5,12.5,12.5,12.5,10.0,10.0,10.0,10.0,10.0
11,12.5,12.5,7.5,7.5,5.0,5.0,5.0,5.0,5.0,5.0
12,12.5,12.5,12.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0
13,12.5,12.5,12.5,12.5,10.0,10.0,10.0,10.0,10.0,10.0
14,12.5,12.5,12.5,10.0,10.0,10.0,10.0,7.5,7.5,7.5
15,12.5,12.5,7.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0
16,12.5,12.5,12.5,12.5,12.5,10.0,10.0,10.0,10.0,10.0
17,12.5,12.5,12.5,12.5,7.5,7.5,7.5,7.5,7.5,7.5
18,12.5,10.0,7.5,7.5,5.0,5.0,5.0,5.0,5.0,5.0
19,12.5,12.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
20,12.5,7.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
21,12.5,12.5,7.5,7.5,5.0,5.0,5.0,5.0,5.0,5.0
22,12.5,12.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
23,12.5,12.5,12.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0
24,12.5,12.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
25,12.5,12.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
26,12.5,12.5,12.5,10.0,10.0,10.0,5.0,5.0,5.0,5.0
27,12.5,12.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
28,12.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
29,12.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
30,12.5,10.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
31,12.5,12.5,12.5,10.0,10.0,7.5,7.5,7.5,7.5,7.5
32,12.5,7.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
33,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
34,12.5,12.5,12.5,12.5,12.5,12.5,12.5,10.0,10.0,10.0
35,12.5,12.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
