,0.7777777777777777,0.0,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.6666666666666666,0.2222222222222222,1.0,0.8888888888888888,0.5555555555555556
0,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
1,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
2,equal,equal,equal,equal,larger,equal,equal,equal,equal,equal
3,equal,equal,equal,equal,equal,equal,larger,equal,equal,equal
4,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
5,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
6,equal,equal,equal,equal,larger,equal,equal,equal,equal,equal
7,equal,equal,equal,equal,equal,smaller,equal,equal,equal,smaller
8,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
9,equal,equal,equal,equal,equal,equal,equal,equal,larger,equal
10,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
11,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
12,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
13,equal,equal,equal,smaller,equal,smaller,equal,equal,equal,equal
14,equal,equal,larger,equal,equal,equal,equal,equal,equal,equal
15,equal,equal,equal,smaller,equal,equal,equal,equal,equal,equal
16,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
17,equal,equal,smaller,equal,equal,equal,equal,equal,equal,equal
18,smaller,equal,equal,equal,equal,equal,equal,equal,equal,equal
19,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
20,smaller,equal,equal,equal,equal,equal,equal,larger,equal,equal
21,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
22,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
23,equal,equal,equal,equal,equal,equal,equal,equal,equal,smaller
24,equal,equal,equal,equal,equal,larger,equal,equal,larger,equal
25,equal,equal,equal,equal,equal,equal,equal,equal,smaller,equal
26,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
27,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
28,equal,equal,equal,equal,equal,equal,equal,equal,equal,smaller
29,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
30,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal
31,equal,equal,equal,equal,equal,equal,equal,equal,equal,larger
32,equal,larger,equal,equal,equal,equal,equal,equal,equal,equal
33,equal,equal,equal,larger,equal,equal,equal,equal,equal,equal
34,equal,equal,equal,smaller,equal,equal,equal,equal,equal,equal
35,equal,equal,equal,equal,larger,equal,equal,equal,equal,equal
